run_name,condition,path,step,candidate_index,picked,score_total,readable_ontology_frontier,frontier_quality,ontology_collapse_density,identity_melt_score,affordance_corruption_score,category_bleeding_score,syntax_readability_proxy,graph_integration,graph_fragmentation,repair_pressure,cliche_attractor_score,cliche_attractor_density_per_100,cliche_attractor_hits,stock_prop_attractor_score,stock_prop_attractor_density_per_100,stock_prop_attractor_hits,soft_style_cliche_score,soft_style_cliche_density_per_100,soft_style_cliche_hits,fantasy_prop_score,fantasy_prop_hits,ordinary_anchor_retention,ordinary_anchor_drop,ordinary_anchor_terms,ordinary_anchor_hits,atmospheric_conservation,unfinished,meta_leak,identity_melt_count,affordance_corruption_count,text
steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,steer_alpha_0p77_traj,experiments/frontier_sweep_model_compare_mistral7b_stock_guard_traj_seed12/steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,1,1,1,1.9026790955091715,0.038009498207885295,0.6952956989247311,0.06666666666666667,0.0,0.0,0.3333333333333333,1.0,0.39059139784946223,0.27423387096774204,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.6666666666666666,0.33333333333333337,the; receipt; counter,the; receipt,0.0,0.0,0.0,0,0,A hand pushes it under the receipt.
steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,steer_alpha_0p77_traj,experiments/frontier_sweep_model_compare_mistral7b_stock_guard_traj_seed12/steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,1,2,0,1.0213096390168968,0.03334105990244261,0.6358742237903225,0.06394319446848298,0.0,0.0,0.3197159723424149,0.925125,0.3746774193548386,0.28139516129032266,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,the; receipt; counter,the; receipt; counter,0.0,0.0,0.0,0,0,"The receipt on the counter, a single drop of water."
steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,steer_alpha_0p77_traj,experiments/frontier_sweep_model_compare_mistral7b_stock_guard_traj_seed12/steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,1,3,0,0.35209086021505376,0.0,0.5075658602150537,0.0,0.0,0.0,0.0,0.73,0.39059139784946223,0.27423387096774204,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.3333333333333333,0.6666666666666667,the; receipt; counter,the,0.0,0.0,0.0,0,0,The cashier slips it into the register.
steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,steer_alpha_0p77_traj,experiments/frontier_sweep_model_compare_mistral7b_stock_guard_traj_seed12/steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,1,4,0,1.0099395409776817,0.0,0.4364806451612903,0.0,0.0,0.0,0.0,0.74,0.17967741935483866,0.3691451612903226,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.6666666666666666,0.33333333333333337,the; receipt; counter,the; receipt,0.0,0.0,0.0,0,0,The cashier rolls a coin into the receipt.
steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,steer_alpha_0p77_traj,experiments/frontier_sweep_model_compare_mistral7b_stock_guard_traj_seed12/steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,1,5,0,-1.1208300492610836,0.0,0.5153793103448275,0.0,0.0,0.0,0.0,0.9724137931034482,0.05999999999999997,0.7350324302134648,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.3333333333333333,0.6666666666666667,the; receipt; counter,the,0.0,0.0,0.0,0,0,"A customer's hand reaches for the till, scooping coins into its palm."
steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,steer_alpha_0p77_traj,experiments/frontier_sweep_model_compare_mistral7b_stock_guard_traj_seed12/steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,1,6,0,-0.6700606439127372,0.0,0.43978571428571434,0.0,0.0,0.0,0.0,0.8795714285714287,0.0,0.7008189655172414,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.3333333333333333,0.6666666666666667,the; receipt; counter,the,0.0,0.0,0.0,0,0,"Underneath the cash register, the coin rolls into the glass."
steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,steer_alpha_0p77_traj,experiments/frontier_sweep_model_compare_mistral7b_stock_guard_traj_seed12/steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,1,7,0,-0.7841217453000007,0.0,0.3426120689655172,0.0,0.0,0.0,0.0,0.6852241379310344,0.0,0.8032824302134647,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.6666666666666666,0.33333333333333337,the; receipt; counter,the; receipt,0.0,0.0,0.0,0,0,"The cashier slides the receipt beneath the register, clutching a rose."
steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,steer_alpha_0p77_traj,experiments/frontier_sweep_model_compare_mistral7b_stock_guard_traj_seed12/steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,1,8,0,-0.8082469169674137,0.0,0.3323333333333333,0.0,0.0,0.0,0.0,0.6646666666666666,0.0,0.7484856321839081,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.6666666666666666,0.33333333333333337,the; receipt; counter,the; receipt,0.0,0.0,0.0,0,0,"A cat curls its tail against the receipt, cradling the receipt."
steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,steer_alpha_0p77_traj,experiments/frontier_sweep_model_compare_mistral7b_stock_guard_traj_seed12/steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,2,1,1,0.36111586013715824,0.028973333333333334,0.53,0.06666666666666667,0.0,0.0,0.3333333333333333,1.0,0.05999999999999997,0.8046990968801314,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.5,0.5,the; receipt; counter; hand; pushes,the; hand,0.0,0.0,0.0,0,0,"The hand grasps a cup of coffee, dripping steam into its lid."
steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,steer_alpha_0p77_traj,experiments/frontier_sweep_model_compare_mistral7b_stock_guard_traj_seed12/steer_alpha_0p77_traj_c8_tok120_seed01_the_receipt_on_the_counter.json,2,2,0,0.8811791792892706,0.025602636363636362,0.4683409090909091,0.06666666666666667,0.0,0.0,0.3333333333333333,0.9366818181818182,0.0,0.7008189655172414,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.5,0.5,the; receipt; counter; hand; pushes,the; hand,0.0,0.0,0.0,0,0,"The hand withdraws an envelope, revealing a keyhole in the keylock."
