item_id,seed,anchors,prompt_mode,alpha,generation_seed,candidate_index,observer_label,text,anchor_phrase_hits,anchor_phrase_misses,surface_style_hits,anchor_phrase_coverage,ontology_collapse_density,syntax_readability_proxy,readable_ontology_frontier,traceable_transport_score,surface_style_pressure,decoration_without_transport,cliche_attractor_score,fantasy_prop_score,semantic_loop_pressure,unbridged_novelty,object_budget_pressure,unfinished,identity_melt_score,affordance_corruption_score,category_bleeding_score,frontier_quality,stock_prop_attractor_score,lineage_bridge,trajectory_revisit_pressure
anchor01_mug_sink,A blue mug rests beside the sink; a comb catches the morning light.,blue mug; sink; comb; morning light,naive,0.0,20261722,1,ontologically_stable,"The blue mug now wears a cloak of steam, and the comb lies motionless in the morning light, but the sink still sings a tune, its pipes resonating with an ancient melody. Water begins to seep from the faucet, a glittering river that devours the blue mug, leaving only a memory of its silent presence beside the sink.",blue mug; sink; comb; morning light,,,1.0,0.0,0.6718722098214286,0.0,0.05204594983552634,0.0,0.0,0.0,0.0,0.2222222222222222,0.7083333333333333,1.0,0.0,0.0,0.0,0.0,0.40312332589285715,0.0,0.32894736842105265,0.06
anchor01_mug_sink,A blue mug rests beside the sink; a comb catches the morning light.,blue mug; sink; comb; morning light,naive,0.0,20261722,2,anchor_loss_failure,"The blue mug seemed to be slowly filling itself with a liquid that looked exactly like the blue mug itself. Its ceramic surface began to ripple and shimmer, as if it were alive, and its lid opened by itself to reveal a tiny, delicate face that smiled at the comb, now hovering in mid-air, being pulled towards it by an invisible string.",blue mug; comb,sink; morning light,as if; shimmer,0.5,0.0,0.6985774225774226,0.0,0.04209843179917909,0.6666666666666666,0.23285914085914086,0.3333333333333333,0.0,0.13043478260869568,0.8636363636363635,1.0,0.0,0.0,0.0,0.0,0.370246033966034,0.0,0.2875,0.023076923076923078
anchor01_mug_sink,A blue mug rests beside the sink; a comb catches the morning light.,blue mug; sink; comb; morning light,naive,0.0,20261722,3,decorative_near_miss,"The blue mug now held a strange, pulsing liquid that matched the color of the mug, casting an otherworldly glow on the surrounding tiles. As it dried, a single hair from an unknown subject floated upwards, settling gently onto the comb, which now shone like a miniature mirror reflecting the morning light that had begun to eerily pass through the walls.",blue mug; comb; morning light,sink,glow,0.75,0.01904761904761905,0.6751943996776792,0.006327536088407966,0.04134935897435898,0.3333333333333333,0.16558338849238324,0.3333333333333333,0.4,0.1111111111111111,0.8461538461538461,1.0,0.0,0.0,0.0,0.09523809523809523,0.40511663980660756,0.3333333333333333,0.25,0.04285714285714285
anchor01_mug_sink,A blue mug rests beside the sink; a comb catches the morning light.,blue mug; sink; comb; morning light,naive,0.0,20261722,4,ontologically_stable,"The blue mug seemed to levitate out of the sink as the comb's trembling limbs tried to reattach themselves to the countertop, but the morning light only made everything feel more frayed. Dust bunnies materialized, clustering around the brush hairs like soldiers in formation, awaiting a signal to march across the comb's length.",blue mug; sink; comb; morning light,,,1.0,0.0,0.6544420604963864,0.0,0.06260172526041667,0.0,0.0,0.0,0.0,0.10714285714285715,0.7037037037037037,1.0,0.0,0.0,0.0,0.0,0.39266523629783184,0.0,0.3522727272727273,0.05357142857142857
anchor01_mug_sink,A blue mug rests beside the sink; a comb catches the morning light.,blue mug; sink; comb; morning light,naive,0.0,20261722,5,decorative_near_miss,"The blue mug sat beside the sink, its ceramic surface reflecting the pale light of the morning like a shard of broken glass. The comb, abandoned on the countertop, now resembled a grasping, translucent thing, as if it had sprung to life to snare the morning light.",blue mug; sink; comb; morning light,,as if,1.0,0.0,0.6520076326326326,0.0,0.046765909090909094,0.3333333333333333,0.21733587754421085,0.0,0.0,0.27272727272727276,0.7,1.0,0.0,0.0,0.0,0.0,0.39120457957957955,0.0,0.3,0.07142857142857142
anchor01_mug_sink,A blue mug rests beside the sink; a comb catches the morning light.,blue mug; sink; comb; morning light,naive,0.0,20261722,6,readable_transport,"The blue mug seemed to have grown roots, its ceramic petals unfolding like a lotus flower to siphon the sink's stagnant water. The comb, now a slender, translucent leg, stretched towards the morning light, where it somehow tapped out a Morse code on the kitchen ceiling, a symphony of light and water eternally repeating itself.",blue mug; sink; comb; morning light,,,1.0,0.55,0.694978403090542,0.1921893275906585,0.049621130400021786,0.0,0.0,0.0,0.0,0.19354838709677422,0.7499999999999999,1.0,0.0,1.0,0.0,0.0,0.4169870418543252,0.0,0.31521739130434784,0.05172413793103448
anchor01_mug_sink,A blue mug rests beside the sink; a comb catches the morning light.,blue mug; sink; comb; morning light,naive,0.0,20261722,7,decorative_near_miss,"As the morning light danced across the comb, it transformed into a faded blue paintbrush, which was somehow still balanced precariously on the edge of the sink, its paint dripping like scattered thoughts into the blue mug. The mug, however, remained eerily still, frozen in a perpetual half-empty state, its surface reflecting a day that had never quite begun.",blue mug; sink; comb; morning light,,danced,1.0,0.0,0.677729345245533,0.0,0.05516500841712767,0.3333333333333333,0.22590978174851098,0.0,0.0,0.10344827586206898,0.7499999999999999,1.0,0.0,0.0,0.0,0.0,0.4066376071473198,0.0,0.31521739130434784,0.05172413793103448
anchor01_mug_sink,A blue mug rests beside the sink; a comb catches the morning light.,blue mug; sink; comb; morning light,naive,0.0,20261722,8,decorative_near_miss,"The blue mug now held a jellyfish in a perpetual balance, its tendrils sticking to the sides as it slowly set itself free. As the comb continued to dance with the morning light, the sink began to unravel its own pipes, allowing the water to flow upwards like a babbling brook into the falling blue mug.",blue mug; sink; comb; morning light,,dance,1.0,0.0,0.6687142857142857,0.0,0.04498197115384616,0.3333333333333333,0.22290476190476188,0.0,0.0,0.10714285714285715,0.8,1.0,0.0,0.0,0.0,0.0,0.3544185714285714,0.0,0.25,0.057692307692307696
anchor01_mug_sink,A blue mug rests beside the sink; a comb catches the morning light.,blue mug; sink; comb; morning light,naive,0.6,20261722,1,stock_loop_or_sprawl_failure,"As the morning light seeped into the sink, it began to resemble a serene, yet eerily majestic, waterfall. The comb, now a delicate, crystalline harp, vibrated softly, producing a lullaby of forgotten melodies.",sink; comb; morning light,blue mug,,0.75,0.55,0.7472923076923077,0.18254632304615387,0.0612,0.0,0.0,0.6666666666666666,0.375,0.0,0.736842105263158,1.0,0.0,1.0,0.0,0.0,0.3960649230769231,0.3333333333333333,0.3,0.057142857142857134
anchor01_mug_sink,A blue mug rests beside the sink; a comb catches the morning light.,blue mug; sink; comb; morning light,naive,0.6,20261722,2,ontologically_stable,"The blue mug seems to be slowly rising from the sink, its glaze dripping like a pale, sticky rainbow as it ascends into the warm, dusty air, where it tangles itself into a forgotten branch. Above, the comb hums a jerky, staccato tune, its bristles aflame with a soft, green fire that is soon extinguished, leaving behind a morning light that pours like a liquid, a strangely tranquil pool.",blue mug; sink; comb; morning light,,,1.0,0.0,0.715948275862069,0.0,0.05681373543735675,0.0,0.0,0.0,0.0,0.0,0.787878787878788,1.0,0.0,0.0,0.0,0.0,0.2147844827586207,0.0,0.30357142857142855,0.04411764705882353
